event,eventLabel,year,countryLabel
http://www.wikidata.org/entity/Q657661,Mozambican Civil War,1977,Mozambique
http://www.wikidata.org/entity/Q106967145,Department of Health autism dossiers scandal,2021,Ireland
http://www.wikidata.org/entity/Q128801980,Q128801980,2015,People's Republic of China
http://www.wikidata.org/entity/Q97381399,East Timorese civil war,1975,Timor-Leste
http://www.wikidata.org/entity/Q124036381,Almost Naked party,2023,Russia
http://www.wikidata.org/entity/Q130219592,1976 Ecuadorian coup d'état,1976,Ecuador
http://www.wikidata.org/entity/Q60504015,Affaire de Tarnac,2008,France
http://www.wikidata.org/entity/Q124247757,Uruguayan Intrastate War,1972,Uruguay
http://www.wikidata.org/entity/Q213394,Sri Lankan civil war,1983,Sri Lanka
http://www.wikidata.org/entity/Q115921501,Cough syrup scandal in Uzbekistan,2022,Uzbekistan
http://www.wikidata.org/entity/Q647239,Burundi Civil War,1993,Burundi
http://www.wikidata.org/entity/Q178810,Syrian Civil War,2011,Syria
http://www.wikidata.org/entity/Q795269,Sierra Leone Civil War,1991,Sierra Leone
http://www.wikidata.org/entity/Q117100709,2023 Nigerien coup d'état,2023,Niger
http://www.wikidata.org/entity/Q92231659,Joe Biden sexual assault allegation,1993,United States
http://www.wikidata.org/entity/Q81545,Libyan Civil War,2011,Libya
http://www.wikidata.org/entity/Q108308869,Saint Boy controversy,2021,Japan
http://www.wikidata.org/entity/Q105180889,2021 Myanmar coup d'état,2021,Myanmar
http://www.wikidata.org/entity/Q122969113,1970 Bolivian coups d'état,1970,Bolivia
http://www.wikidata.org/entity/Q74137021,Mnet vote manipulation investigation,2019,South Korea
http://www.wikidata.org/entity/Q862099,1993 Russian constitutional crisis,1992,Russia
http://www.wikidata.org/entity/Q108060300,Aubrey de Grey sexual harassment allegations,2021,United States
http://www.wikidata.org/entity/Q60820213,1991-92 Georgian coup d'état,1991,Republic of Georgia (1990–1992)
http://www.wikidata.org/entity/Q136487699,2025 Malagasy coup d'état,2025,Madagascar
http://www.wikidata.org/entity/Q60847313,Virus operation,2012,Switzerland
http://www.wikidata.org/entity/Q60847313,Virus operation,2012,France
http://www.wikidata.org/entity/Q60847313,Virus operation,2012,Morocco
http://www.wikidata.org/entity/Q117716414,Sudanese civil war,2023,Sudan
http://www.wikidata.org/entity/Q110613097,Myanmar civil war,2021,Myanmar
http://www.wikidata.org/entity/Q142529,Algerian Civil War,1992,Algeria
http://www.wikidata.org/entity/Q125256027,Kobayashi red yeast rice scandal,2024,Japan
http://www.wikidata.org/entity/Q125256027,Kobayashi red yeast rice scandal,2024,Taiwan
http://www.wikidata.org/entity/Q1237867,Liberal Wars,1828,
http://www.wikidata.org/entity/Q2334896,1809 Swedish coup d'état,1809,Sweden
http://www.wikidata.org/entity/Q3118949,Acadian Civil War,1635,New France
http://www.wikidata.org/entity/Q125768501,Conflict between Willem Leyel and Bernt Pessart,1643,
http://www.wikidata.org/entity/Q5887865,Salaverry-Santa Cruz War,1835,Peru
http://www.wikidata.org/entity/Q5887690,Royalist War,1822,Kingdom of Spain
http://www.wikidata.org/entity/Q16573170,Peruvian Civil War of 1843-1844,1843,Peru
http://www.wikidata.org/entity/Q4867844,Basque-Vicuña War,1622,
http://www.wikidata.org/entity/Q209297,Farroupilha Revolution,1835,
http://www.wikidata.org/entity/Q3263276,Bruneian Civil War of 1660,1660,Bruneian Sultanate
http://www.wikidata.org/entity/Q3029948,Patuleia,1846,Kingdom of Portugal
http://www.wikidata.org/entity/Q620761,Appeal War,1724,
http://www.wikidata.org/entity/Q1049945,Jacobite rising of 1745,1745,
http://www.wikidata.org/entity/Q3025312,Second Carlist War,1846,
http://www.wikidata.org/entity/Q3197905,Ottoman coups of 1807–1808,1807,Ottoman Empire
http://www.wikidata.org/entity/Q3778584,Piedmontese Civil War,1639,
http://www.wikidata.org/entity/Q139073891,Afghan Civil War,1793,Durrani Empire
http://www.wikidata.org/entity/Q656186,Fronde,1648,Kingdom of France
http://www.wikidata.org/entity/Q889182,Bockenkrieg,1804,Switzerland
http://www.wikidata.org/entity/Q63156812,Persian Civil War,1779,
http://www.wikidata.org/entity/Q5392819,Fourth Argentine Civil War,1832,Argentine Confederation
http://www.wikidata.org/entity/Q2341073,First Carlist War,1833,Spain
http://www.wikidata.org/entity/Q690096,Toggenburg War,1712,Old Swiss Confederacy
http://www.wikidata.org/entity/Q249960,Chouannerie,1794,France
http://www.wikidata.org/entity/Q4122570,War of the South,1799,Saint-Domingue
http://www.wikidata.org/entity/Q5887710,1848–1856 Argentine Civil War,1848,Argentine Confederation
http://www.wikidata.org/entity/Q2280734,Siamese Civil War of 1610–1612,1610,Ayutthaya Kingdom
http://www.wikidata.org/entity/Q2280736,Siamese Civil War of 1630–1636,1630,Ayutthaya Kingdom
http://www.wikidata.org/entity/Q137921128,Herati Civil War,1823,Herat (1793-1863)
http://www.wikidata.org/entity/Q1302457,Siamese Civil War of 1733,1733,Siam
http://www.wikidata.org/entity/Q620965,coup of 18 Brumaire,1799,French First Republic
http://www.wikidata.org/entity/Q9377280,Polish Civil War,1764,Polish–Lithuanian Commonwealth
http://www.wikidata.org/entity/Q7921192,Vere Street Coterie,1810,United Kingdom
http://www.wikidata.org/entity/Q60742221,Choctaw Civil War,1747,
http://www.wikidata.org/entity/Q2998928,Coup of 30 Prairial Year VII,1799,French First Republic
http://www.wikidata.org/entity/Q40376919,Q40376919,1728,Tunis vilayet
http://www.wikidata.org/entity/Q17633452,First Central American Civil War,1826,El Salvador
http://www.wikidata.org/entity/Q17633452,First Central American Civil War,1826,Guatemala
http://www.wikidata.org/entity/Q17633452,First Central American Civil War,1826,Honduras
http://www.wikidata.org/entity/Q17633452,First Central American Civil War,1826,Nicaragua
http://www.wikidata.org/entity/Q109392668,Haile-i Osmaniye,1621,Ottoman Empire
http://www.wikidata.org/entity/Q1323522,League War,1835,Costa Rica
http://www.wikidata.org/entity/Q2672972,Uruguayan Civil War,1839,
http://www.wikidata.org/entity/Q80330,English Civil War,1642,
http://www.wikidata.org/entity/Q3398213,War of the Aggrieved,1827,Spain
http://www.wikidata.org/entity/Q60848213,Q60848213,1839,
http://www.wikidata.org/entity/Q56308540,Western Georgian civil war,1623,Kingdom of Imereti
http://www.wikidata.org/entity/Q17633452,First Central American Civil War,1826,Federal Republic of Central America
http://www.wikidata.org/entity/Q5098735,Chilean Civil War of 1829-1830,1829,Chile
http://www.wikidata.org/entity/Q12186263,Q12186263,1718,Oman proper
http://www.wikidata.org/entity/Q135797958,Bruneian Civil War of 1826,1826,Bruneian Sultanate
http://www.wikidata.org/entity/Q135885527,Corsican Civil War,1755,Corsican Republic
