id,label,year,country,tag,source_file
Q16410,Hungarian People's Republic,1949,Hungarian People's Republic,independence,independence_gap
Q16957,German Democratic Republic,1949,German Democratic Republic,independence,independence_gap
Q25227,Netherlands Antilles,1954,Kingdom of the Netherlands,independence,independence_gap
Q25279,Curaçao,1954,Kingdom of the Netherlands,independence,independence_gap
Q180573,South Vietnam,1955,Vietnam,independence,independence_gap
Q1303351,Wu experiment,1956,,science,science_gap
Q1385044,Goldhaber experiment,1957,,science,science_gap
Q170468,United Arab Republic,1958,,independence,independence_gap
Q1019,Madagascar,1960,Madagascar,independence,independence_gap
Q683,Samoa,1962,Samoa,independence,independence_gap
Q766,Jamaica,1962,Jamaica,independence,independence_gap
Q157535,People's Republic of Zanzibar,1964,Tanzania,independence,independence_gap
Q334,Singapore,1965,Singapore,independence,independence_gap
Q826,Maldives,1965,Maldives,independence,independence_gap
Q26988,Cook Islands,1965,Cook Islands,independence,independence_gap
Q244,Barbados,1966,Barbados,independence,independence_gap
Q760,Saint Lucia,1967,Saint Lucia,independence,independence_gap
Q763,Saint Kitts and Nevis,1967,Saint Kitts and Nevis,independence,independence_gap
Q697,Nauru,1968,Nauru,independence,independence_gap
Q1027,Mauritius,1968,Mauritius,independence,independence_gap
Q678,Tonga,1970,Tonga,independence,independence_gap
Q712,Fiji,1970,Fiji,independence,independence_gap
Q5291089,Dominion of Fiji,1970,,independence,independence_gap
Q398,Bahrain,1971,Bahrain,independence,independence_gap
Q44642,Federation of Arab Republics,1972,,independence,independence_gap
Q854,Sri Lanka,1972,Sri Lanka,independence,independence_gap
Q488521,Fourth Republic of South Korea,1972,,independence,independence_gap
Q769,Grenada,1974,Grenada,independence,independence_gap
Q34020,Niue,1974,Niue,independence,independence_gap
Q4250299,Autonomous Turkish Cypriot Administration,1974,Cyprus,independence,independence_gap
Q574,Timor-Leste,1975,Timor-Leste,independence,independence_gap
Q691,Papua New Guinea,1975,Papua New Guinea,independence,independence_gap
Q970,Comoros,1975,Comoros,independence,independence_gap
Q1011,Cape Verde,1975,Cape Verde,independence,independence_gap
Q1039,São Tomé and Príncipe,1975,São Tomé and Príncipe,independence,independence_gap
Q4393602,Republic of the North Solomons,1975,Papua New Guinea,independence,independence_gap
Q2208280,People's Republic of Angola,1975,,independence,independence_gap
Q2368688,Republic of Cabinda,1975,,independence,independence_gap
Q189988,Central African Empire,1976,,independence,independence_gap
Q754,Trinidad and Tobago,1976,Trinidad and Tobago,independence,independence_gap
Q1042,Seychelles,1976,Seychelles,independence,independence_gap
Q330988,Democratic Kampuchea,1976,Cambodia,independence,independence_gap
Q4843701,Great Socialist People's Libyan Arab Jamahiriya,1977,Libya,independence,independence_gap
Q672,Tuvalu,1978,Tuvalu,independence,independence_gap
Q685,Solomon Islands,1978,Solomon Islands,independence,independence_gap
Q784,Dominica,1978,Dominica,independence,independence_gap
Q16674377,Federal Islamic Republic of the Comoros,1978,Federal Islamic Republic of the Comoros,independence,independence_gap
Q476757,Democratic Republic of Afghanistan,1978,,independence,independence_gap
Q710,Kiribati,1979,Kiribati,independence,independence_gap
Q757,Saint Vincent and the Grenadines,1979,Saint Vincent and the Grenadines,independence,independence_gap
Q3509510,Second Nigerian Republic,1979,Nigeria,independence,independence_gap
Q686,Vanuatu,1980,Vanuatu,independence,independence_gap
Q781,Antigua and Barbuda,1981,,independence,independence_gap
Q482705,Fifth Republic of South Korea,1981,,independence,independence_gap
Q23681,Northern Cyprus,1983,Northern Cyprus,independence,independence_gap
Q1405344,first superstring revolution,1984,,science,science_gap
Q5866720,Republic of Sudan,1985,Sudan,independence,independence_gap
Q2908501,The Seas with Nemo & Friends,1986,United States,exploration,exploration_gap
Q702,Federated States of Micronesia,1986,Federated States of Micronesia,independence,independence_gap
Q709,Marshall Islands,1986,Marshall Islands,independence,independence_gap
Q21203,Aruba,1986,Aruba,independence,independence_gap
Q2067309,Republic of Afghanistan,1987,,independence,independence_gap
Q2504040,Gagauz Republic,1989,Moldova,independence,independence_gap
Q4416710,SAO Western Slavonia,1990,,independence,independence_gap
Q1998866,Czech and Slovak Federal Republic,1990,,independence,independence_gap
Q2354842,Community of Municipalities of Northern Dalmatia and Lika,1990,,independence,independence_gap
Q65362,"SAO Eastern Slavonia, Baranja and Western Syrmia",1991,Socialist Republic of Croatia,independence,independence_gap
Q244165,Republic of Artsakh,1991,,independence,independence_gap
Q3456400,Republic of Georgia (1990–1992),1991,,independence,independence_gap
Q116681951,Satellite Orbital Debris Characterization Impact Test,1992,,science,science_gap
Q4114520,Military Council,1992,,independence,independence_gap
Q192262,Autonomous Province of Western Bosnia,1993,,independence,independence_gap
Q695,Palau,1994,Palau,independence,independence_gap
Q3124829,HERMES experiment,1995,Germany,science,science_gap
Q11401339,Human Bones Incident in Hokkaido University,1995,Japan,science,science_gap
Q427941,Islamic Emirate of Afghanistan,1996,Afghanistan,independence,independence_gap
Q5011260,CHOOZ,1999,,science,science_gap
Q102253563,decoupling of median wages from productivity,2000,,science,science_gap
Q4689103,Transitional Islamic State of Afghanistan,2002,Afghanistan,independence,independence_gap
Q37024,Serbia and Montenegro,2003,Serbia and Montenegro,independence,independence_gap
Q2552742,Northland State,2008,Somalia,independence,independence_gap
Q124377954,Hawking's time traveller party,2009,,science,science_gap
Q1233032,EisenEx,2009,,science,science_gap
Q4327279,2009 Norwegian spiral anomaly,2009,Norway,science,science_gap
Q26273,Sint Maarten,2010,Kingdom of the Netherlands,independence,independence_gap
Q4624917,2012 Boeing 727 crash experiment,2012,Mexico,science,science_gap
Q4170280,exhumation of Richard III of England,2012,United Kingdom,science,science_gap
Q2621587,Waqooyi-Bari,2012,Somalia,independence,independence_gap
Q3393969,Pokémania,2016,,science,science_gap
Q56703616,NASA's TESS spacecraft reports its first exoplanet,2018,,science,science_gap
Q72067697,2019 Grays incident,2019,United Kingdom,science,science_gap
Q90297029,2020 toilet paper shortage,2020,,science,science_gap
Q110894549,fusion experiment on 21 December 2021,2021,,science,science_gap
Q131456418,fusion experiment on 3 October 2023,2023,,science,science_gap
