event,eventLabel,year,countryLabel
http://www.wikidata.org/entity/Q148574,Operation fence of legs,1981,Indonesia
http://www.wikidata.org/entity/Q68969,Croatian War of Independence,1995,Croatia
http://www.wikidata.org/entity/Q506595,Battle of Ajdabiya,2011,Libya
http://www.wikidata.org/entity/Q734004,Black January,1990,Azerbaijan Soviet Socialist Republic
http://www.wikidata.org/entity/Q248979,Battle of Modder River,1899,South Africa
http://www.wikidata.org/entity/Q81256,Battle of Ichikawa-Funabashi,1868,Japan
http://www.wikidata.org/entity/Q155103,Siege of Budapest,1944,Hungary
http://www.wikidata.org/entity/Q175513,Battle of Assam,1871,Ethiopian Empire
http://www.wikidata.org/entity/Q287389,Battle of Monte Pelado,1936,Spain
http://www.wikidata.org/entity/Q281850,Battle of Stanwix Station,1862,United States
http://www.wikidata.org/entity/Q269207,Battle of Sedan,1940,France
http://www.wikidata.org/entity/Q145588,Battle of Gumbinnen,1914,Russia
http://www.wikidata.org/entity/Q199371,Battle of Megiddo,1918,Ottoman Empire
http://www.wikidata.org/entity/Q261776,Battles of Rzhev,1942,Russia
http://www.wikidata.org/entity/Q135468,Battle of Haw's Shop,1864,United States
http://www.wikidata.org/entity/Q192252,Operation Harling,1942,Greece
http://www.wikidata.org/entity/Q254797,Battle of Le Bourget,1870,France
http://www.wikidata.org/entity/Q203234,Battle of Épehy,1918,France
http://www.wikidata.org/entity/Q176216,Battle of Yellow Tavern,1864,United States
http://www.wikidata.org/entity/Q205422,Battle of the Little Bighorn,1876,United States
http://www.wikidata.org/entity/Q270517,Dieppe Raid,1942,France
http://www.wikidata.org/entity/Q233343,Second Battle of Bull Run,1862,United States
http://www.wikidata.org/entity/Q162284,Battle of Kiev,1941,Ukraine
http://www.wikidata.org/entity/Q208855,Jallianwala Bagh massacre,1919,British Raj
http://www.wikidata.org/entity/Q155302,Battle of Loigny-Poupry,1870,France
http://www.wikidata.org/entity/Q263950,Battle of Elandslaagte,1899,South Africa
http://www.wikidata.org/entity/Q193993,Battle of Pea Ridge,1862,United States
http://www.wikidata.org/entity/Q275019,Battle of Smolensk,1943,Russia
http://www.wikidata.org/entity/Q178842,Battle of Waterberg,1904,Namibia
http://www.wikidata.org/entity/Q161033,Demyansk Pocket,1942,Russia
http://www.wikidata.org/entity/Q250383,Action at Néry,1914,France
http://www.wikidata.org/entity/Q194329,Battle of Five Forks,1865,United States
http://www.wikidata.org/entity/Q247871,Battle of Talana Hill,1899,South Africa
http://www.wikidata.org/entity/Q169436,Battle of Rostov,1941,Russia
http://www.wikidata.org/entity/Q180659,Battle of Wilson's Creek,1861,United States
http://www.wikidata.org/entity/Q220766,Battle of Manzikert,1915,Turkey
http://www.wikidata.org/entity/Q150939,Operation Weserübung,1940,Denmark
http://www.wikidata.org/entity/Q150939,Operation Weserübung,1940,Norway
