id,label,year,country,tag,source_file
Q505699,Battle of Heiligerlee,1568,Spanish Netherlands,war,WarsRecord.csv
Q6762017,Marian civil war,1568,Kingdom of Scotland,revolution,Coups.csv
Q164432,Eighty Years' War,1568,Seventeen Provinces,revolution,Coups.csv
Q428369,Battle of Nagashino,1575,Japan,war,WarsRecord.csv
Q15729012,Ribagorza War,1581,Crown of Aragon,revolution,Coups.csv
Q225562,Battle of Shizugatake,1583,Japan,war,WarsRecord.csv
Q60836410,"Assassination of Henry I, Duke of Guise",1588,France,culture,Disasters.csv
Q5518616,Galileo's Leaning Tower of Pisa experiment,1589,Grand Duchy of Tuscany,technology,Inventions.csv
Q497034,Battle of Sangju,1592,Joseon,war,WarsRecord.csv
Q486979,Battle of Ch'ungju,1592,Joseon,war,WarsRecord.csv
Q484029,Battle of Byeokjegwan,1593,Joseon,war,WarsRecord.csv
Q64875937,1592–93 London plague,1593,Kingdom of England,culture,Disasters.csv
Q489057,Battle of Carrickfergus,1597,United Kingdom,war,WarsRecord.csv
Q371409,Battle of Stångebro,1598,Sweden,war,WarsRecord.csv
Q546505,Battle of Stegeborg,1598,Sweden,war,WarsRecord.csv
Q234188,Battle of Sekigahara,1600,Japan,war,WarsRecord.csv
Q6429210,Kongo Civil War,1600,Kingdom of Kongo,revolution,Coups.csv
Q2280734,Siamese Civil War of 1610–1612,1610,Ayutthaya Kingdom,revolution,Coups.csv
Q60832021,Assassination of Henry IV,1610,France,culture,Disasters.csv
Q109392668,Haile-i Osmaniye,1621,Ottoman Empire,revolution,Coups.csv
Q4867844,Basque-Vicuña War,1622,,revolution,Coups.csv
Q56308540,Western Georgian civil war,1623,Kingdom of Imereti,revolution,Coups.csv
Q380067,Battle of Trzciana,1629,Poland,war,WarsRecord.csv
Q2280736,Siamese Civil War of 1630–1636,1630,Ayutthaya Kingdom,revolution,Coups.csv
Q205379,Battle of Breitenfeld,1631,Germany,war,WarsRecord.csv
Q167259,Battle of Lützen,1632,Germany,war,WarsRecord.csv
Q481354,Battle of Oldendorf,1633,Germany,war,WarsRecord.csv
Q42378006,Assassination of Wallenstein,1634,,culture,Disasters.csv
Q3118949,Acadian Civil War,1635,New France,revolution,Coups.csv
Q245811,Battle of Chemnitz,1639,Holy Roman Empire,war,WarsRecord.csv
Q3778584,Piedmontese Civil War,1639,,revolution,Coups.csv
Q331170,Battle of Montjuïc,1641,Spain,war,WarsRecord.csv
Q492006,Battle of Julianstown,1641,Kingdom of Ireland,war,WarsRecord.csv
Q586189,Battle of Powick Bridge,1642,Kingdom of England,war,WarsRecord.csv
Q261345,Battle of Lleida,1642,Hispanic Monarchy,war,WarsRecord.csv
Q261738,Battle of Kilrush,1642,Kingdom of Ireland,war,WarsRecord.csv
Q497787,Battle of Liscarroll,1642,Kingdom of Ireland,war,WarsRecord.csv
Q80330,English Civil War,1642,,revolution,Coups.csv
Q125768501,Conflict between Willem Leyel and Bernt Pessart,1643,,revolution,Coups.csv
Q326417,Battle of Marston Moor,1644,United Kingdom,war,WarsRecord.csv
Q522168,Battle of Benburb,1646,Kingdom of Ireland,war,WarsRecord.csv
Q519818,Battle of Zusmarshausen,1648,Germany,war,WarsRecord.csv
Q656186,Fronde,1648,Kingdom of France,revolution,Coups.csv
Q493609,Battle of Scarrifholis,1650,Kingdom of Ireland,war,WarsRecord.csv
Q491997,Battle of Macroom,1650,Kingdom of Ireland,war,WarsRecord.csv
Q23361,Magdeburg hemispheres,1654,,technology,Inventions.csv
Q426926,Battle of Warsaw,1656,Poland,war,WarsRecord.csv
Q541566,Battle of Kolding,1658,Denmark,war,WarsRecord.csv
Q3263276,Bruneian Civil War of 1660,1660,Bruneian Sultanate,revolution,Coups.csv
Q123885,Royal Society,1660,United Kingdom,empire,Treaties.csv
Q170113,Battle of Saint Gotthard,1664,Hungary,war,WarsRecord.csv
Q323735,Battle of Warksow,1678,Germany,war,WarsRecord.csv
Q1248576,Affair of the Poisons,1679,Kingdom of France,revolution,Coups.csv
Q200855,Battle of Vienna,1683,Habsburg monarchy,war,WarsRecord.csv
Q189508,Glorious Revolution,1688,Kingdom of England,revolution,Coups.csv
Q138579,Institute of the Brothers of the Christian Schools,1688,New Zealand,empire,Treaties.csv
Q48785102,Jacobite rising of 1689,1689,,revolution,Coups.csv
Q517486,Battle of Zenta,1697,Kingdom of Hungary,war,WarsRecord.csv
Q2494496,Lithuanian Civil War of 1700,1697,Grand Duchy of Lithuania,revolution,Coups.csv
Q1281398,Gustav III of Sweden's coffee experiment,1700,,technology,Inventions.csv
